CustomerID,Gender,SeniorCitizen,Tenure,MonthlyCharges,Contract,PaymentMethod,Churn,TotalCharges,AvgCharge
0,Male,0,55,111.88,Two year,Mailed check,0,6153.4,111.88
1,Female,1,36,58.7,Two year,Electronic check,0,2113.2,58.699999999999996
2,Male,0,37,118.86,One year,Electronic check,0,4397.82,118.85999999999999
3,Male,1,14,96.14,Month-to-month,Mailed check,1,1345.96,96.14
4,Male,1,27,28.05,Two year,Mailed check,0,757.35,28.05
5,Female,0,31,86.02,Month-to-month,Mailed check,1,2666.62,86.02
6,Male,1,44,47.08,One year,Bank transfer,0,2071.52,47.08
7,Male,1,68,44.37,Two year,Electronic check,0,3017.16,44.37
8,Male,0,48,45.66,One year,Electronic check,0,2191.68,45.66
9,Female,0,57,111.61,Two year,Credit card,0,6361.77,111.61000000000001
10,Male,0,22,70.0,Two year,Credit card,0,1540.0,70.0
11,Male,0,4,86.95,One year,Electronic check,0,347.8,86.95
12,Male,1,46,48.09,One year,Electronic check,0,2212.14,48.089999999999996
13,Male,0,59,72.3,Month-to-month,Bank transfer,1,4265.7,72.3
14,Female,0,34,55.01,One year,Credit card,0,1870.34,55.01
15,Male,0,11,52.11,One year,Mailed check,0,573.21,52.11000000000001
16,Female,0,31,44.7,Month-to-month,Bank transfer,0,1385.7,44.7
17,Female,0,11,60.9,One year,Credit card,1,669.9,60.9
18,Female,1,56,86.0,Month-to-month,Mailed check,0,4816.0,86.0
19,Male,0,38,42.2,Month-to-month,Mailed check,0,1603.6,42.199999999999996
20,Female,1,21,116.54,One year,Electronic check,1,2447.34,116.54
21,Male,0,10,32.46,Month-to-month,Electronic check,1,324.6,32.46
22,Female,0,26,68.02,Month-to-month,Mailed check,0,1768.52,68.02
23,Female,0,8,28.5,Month-to-month,Mailed check,1,228.0,28.5
24,Female,0,8,22.27,One year,Electronic check,0,178.16,22.27
25,Female,0,60,112.27,One year,Electronic check,1,6736.2,112.27
26,Female,0,34,101.04,Month-to-month,Electronic check,0,3435.36,101.04
27,Female,0,16,89.42,One year,Electronic check,0,1430.72,89.42
28,Female,0,13,106.52,Two year,Credit card,1,1384.76,106.52
29,Female,1,22,100.28,Month-to-month,Electronic check,0,2206.16,100.27999999999999
30,Male,0,27,84.72,Two year,Bank transfer,0,2287.44,84.72
31,Male,1,64,104.73,One year,Bank transfer,0,6702.72,104.73
32,Female,0,2,59.08,Two year,Bank transfer,0,118.16,59.08
33,Female,1,26,75.28,One year,Electronic check,0,1957.28,75.28
34,Female,0,69,97.63,One year,Mailed check,0,6736.47,97.63000000000001
35,Male,0,30,28.48,Month-to-month,Mailed check,1,854.4,28.48
36,Female,0,8,105.86,Two year,Credit card,0,846.88,105.86
37,Male,1,38,35.68,Month-to-month,Electronic check,1,1355.84,35.68
38,Male,1,61,106.45,Two year,Bank transfer,0,6493.45,106.45
39,Male,1,65,51.13,One year,Mailed check,0,3323.45,51.129999999999995
40,Male,1,67,52.68,One year,Electronic check,0,3529.56,52.68
41,Male,0,46,27.39,Month-to-month,Bank transfer,1,1259.94,27.39
42,Female,0,43,108.59,Two year,Bank transfer,0,4669.37,108.59
43,Female,0,59,37.45,Two year,Bank transfer,0,2209.55,37.45
44,Female,1,46,83.0,One year,Bank transfer,0,3818.0,83.0
45,Female,0,35,84.4,Month-to-month,Bank transfer,1,2954.0,84.4
46,Female,1,39,48.12,One year,Credit card,0,1876.68,48.120000000000005
47,Male,1,51,118.57,One year,Bank transfer,0,6047.07,118.57
48,Female,1,4,26.42,Month-to-month,Credit card,1,105.68,26.42
49,Female,1,51,80.79,Two year,Bank transfer,0,4120.29,80.79
50,Male,1,5,67.95,Two year,Bank transfer,1,339.75,67.95
51,Female,0,55,44.55,One year,Bank transfer,1,2450.25,44.55
52,Male,1,20,36.36,Two year,Bank transfer,0,727.2,36.36
53,Female,1,24,93.71,Month-to-month,Credit card,0,2249.04,93.71
54,Male,0,36,111.63,Two year,Electronic check,0,4018.68,111.63
55,Female,1,34,30.75,Two year,Mailed check,1,1045.5,30.75
56,Female,1,54,39.4,One year,Credit card,0,2127.6,39.4
57,Male,0,34,118.63,Two year,Credit card,1,4033.42,118.63
58,Male,0,17,21.5,Month-to-month,Credit card,0,365.5,21.5
59,Male,0,5,70.83,One year,Electronic check,0,354.15,70.83
60,Male,1,18,71.61,Month-to-month,Mailed check,0,1288.98,71.61
61,Male,0,55,46.32,Two year,Electronic check,0,2547.6,46.32
62,Male,0,53,86.3,Two year,Mailed check,0,4573.9,86.3
63,Male,0,50,114.49,One year,Mailed check,0,5724.5,114.49
64,Male,1,45,65.02,Month-to-month,Mailed check,0,2925.9,65.02
65,Female,0,13,94.94,Two year,Electronic check,0,1234.22,94.94
66,Female,1,16,84.61,Two year,Mailed check,0,1353.76,84.61
67,Male,1,13,67.29,One year,Bank transfer,0,874.77,67.28999999999999
68,Female,0,20,24.98,Two year,Credit card,0,499.6,24.98
69,Female,1,66,94.17,Two year,Mailed check,0,6215.22,94.17
70,Female,1,47,56.33,Two year,Credit card,1,2647.51,56.330000000000005
71,Female,0,19,42.45,Month-to-month,Electronic check,0,806.55,42.449999999999996
72,Male,1,45,114.83,Month-to-month,Electronic check,1,5167.35,114.83000000000001
73,Female,0,37,97.35,Month-to-month,Bank transfer,0,3601.95,97.35
